pos,bib,name,team,category,rank,nationality,time,timediff,La Charme,Saint-Gervais,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Fouly,Champex Lac,Bovine,Trient,Catogne,Vallorcine,Argentière,Chamonix - Arrivée,la charme_pos,saint-gervais_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la fouly_pos,champex lac_pos,bovine_pos,trient_pos,catogne_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
440,1952,LEUENBERGER Patrick,TRIATHLON CLUB AARAU,SE H,441,CH,36:25:30,14:53:32.000000,2407,3664,5633,6886,,10214,14123,13788,16367,17728,19318,20500,21998,23460,26144,29597,38510,41406,,47290,50386,53612,1570,164,1659,148,-1,55,214,1728,297,1491,1648,406,420,463,1487,451,562,461,-1,462,438,441
441,2228,CIFERMAN Isabelle,,SE F,442,FR,36:27:08,14:55:10.000000,1522,2239,3780,5187,,8175,11242,11100,13434,14499,17259,18622,20386,22212,24893,29457,36380,39702,,45258,48550,53710,398,117,1513,216,-1,1663,91,562,199,437,1725,274,1488,290,406,423,296,427,-1,481,458,442
442,2302,KNODEL Ralf,DJK SCHWABISCH GMUND,V1 H,442,DE,36:27:08,14:55:10.000000,1583,2675,5266,6514,,10784,,14219,16481,17562,19909,20470,21657,23072,25476,29495,34924,38455,,45637,49221,53710,509,535,1505,905,-1,1647,-1,220,1451,200,299,1488,617,372,350,457,432,365,-1,449,402,443
443,2937,FLICK Markus,SPORTFREUNDE ENNEPETAL,SE H,442,DE,36:27:08,14:55:10.000000,2645,3829,6151,7267,,10911,14503,14310,16408,17357,19906,20696,21794,23680,25569,28484,34921,38452,,45636,49218,53710,160,90,451,232,-1,366,207,720,315,297,490,617,224,373,349,283,487,412,-1,464,459,444
444,465,PISTONI fabrizio,PELO CLUB,V1 H,445,IT,36:27:29,14:55:31.000000,2957,4256,7304,9919,,13432,,16426,18524,19092,21943,23733,25374,27602,29804,34241,43603,47411,,51820,52944,53731,462,421,1572,204,-1,563,-1,565,1457,284,356,450,428,356,348,285,473,434,-1,475,405,445
445,2707,LECORNU Fabrice,CNB,V1 H,445,Fr,36:27:29,14:55:31.000000,3148,5096,8446,10592,,14689,18878,18376,21582,24655,26585,27636,29240,31074,33480,37248,44800,47331,,51823,52985,53731,397,214,30,209,-1,352,365,339,459,1436,282,318,200,379,635,461,433,432,-1,427,395,446
446,466,PORTE Jean Claude,ASPTT-BLOIS,V1 H,447,FR,36:33:53,15:01:55.000000,3676,5080,7669,9740,,15206,16021,18321,20513,21821,25721,28408,30736,32835,35624,37040,43191,45507,,49364,51766,54115,1790,730,508,317,-1,64,287,1781,378,435,1437,1580,355,306,462,526,434,433,-1,461,485,447
447,379,GERMAIN Patrick,,V2 H,448,Fr,36:33:56,15:01:58.000000,3037,4648,7315,9428,,13595,17216,17175,19288,20062,21456,23025,24289,26596,29129,33340,39708,42738,,48747,51369,54118,461,723,1771,352,-1,300,243,508,1754,1651,342,1724,461,331,461,1485,386,457,-1,428,456,448
448,2438,VERGER Sebastien,TEAM EXTREM NONOK,SE H,449,FR,36:33:59,15:02:01.000000,2474,3565,5581,7768,,11011,15335,14967,17146,17753,20385,21349,23664,26683,28592,32944,41038,43799,,50501,52649,54121,1444,701,410,354,-1,564,198,496,189,274,294,449,460,266,325,338,384,659,-1,420,463,449
449,339,HUGAULT Philippe,ASPHALTE 94,V1 H,450,FR,36:35:55,15:03:57.000000,1691,2405,4469,6525,,10206,13904,13224,15491,16663,19934,21159,22493,26604,28836,32659,39703,42737,,48096,51375,54237,168,207,409,215,-1,397,303,1780,437,1752,1520,564,290,406,538,349,385,459,-1,528,482,450
450,569,DUVALET Philippe,CCAS,V2 H,450,FR,36:35:55,15:03:57.000000,1665,2386,4538,6233,,9335,13667,13170,15940,17260,20627,23178,25507,27297,29650,34823,41893,44213,,49490,51505,54237,77,1799,1774,146,-1,1576,123,563,1456,701,308,563,252,424,363,261,374,460,-1,489,422,451
451,2225,HUAUX Fabrice,NL,V2 H,452,FR,36:38:25,15:06:27.000000,2023,3002,4684,6160,,10428,14847,14550,16512,18385,22031,23180,24738,26648,28688,31380,38059,40475,,46673,49624,54387,186,1806,1775,1749,-1,1108,228,270,661,258,498,217,395,1489,429,659,373,487,-1,454,465,452
452,3550,FORMAZ Denis,,SE H,452,CH,36:38:25,15:06:27.000000,3036,4321,6902,8585,,12152,17153,16740,18464,18917,21494,22593,23554,25105,26617,31170,37289,40391,,46782,50126,54387,185,657,106,301,-1,945,170,1645,575,238,406,218,537,309,330,352,412,399,-1,430,488,453
453,3659,FORMAZ Guy,,V3 H,452,CH,36:38:25,15:06:27.000000,3034,4321,6901,8587,,12151,17150,16719,18459,18917,21492,22590,23551,25102,26615,31168,37287,40384,,46788,50111,54387,286,627,826,507,-1,143,200,1785,204,408,444,219,378,272,358,450,400,401,-1,394,483,454
454,2464,FISCHER Manuel,,V1 H,455,DE,36:38:35,15:06:37.000000,2843,4007,6751,8975,,12788,16860,16422,18592,19572,24045,25802,28454,30511,32633,35585,41456,44115,,48313,50372,54397,264,208,906,187,-1,1474,474,315,1753,312,443,164,405,1580,353,633,457,386,-1,404,448,455
455,3263,PILORGET Roger,LEGENDRE BRETAGNE,V2 H,456,FR,36:38:47,15:06:49.000000,2907,4223,6733,8352,,12143,16143,15624,17697,18237,21472,22430,23349,24707,26804,31124,38345,41720,,47948,50937,54409,353,773,1764,1783,-1,357,475,630,565,576,636,379,387,491,305,359,423,423,-1,437,450,456
456,2983,DELMAS Franck,VILLEPINTE TRIATHLON 93,SE H,457,FR,36:41:07,15:09:09.000000,2954,4037,6538,8096,,11604,15874,15682,17809,19040,22651,24974,26981,28340,31894,35100,43458,46001,,51585,53180,54549,768,368,374,653,-1,301,278,525,435,409,450,1436,367,425,307,1486,408,425,-1,460,423,457
457,2955,BERGER Michel,,V1 H,458,Fr,36:42:26,15:10:28.000000,2499,3597,5829,7699,,11193,15573,15216,17054,17814,21979,23261,24617,26451,28614,32908,41312,43365,,48502,50717,54628,2010,186,424,1105,-1,532,938,523,509,330,912,309,819,1578,463,266,364,474,-1,486,451,458
458,1553,JAEG Dominique,BATIBOIS ALSACE,SE H,459,FR,36:44:01,15:12:03.000000,2415,3438,5404,6940,,9957,14045,13209,15136,15801,19314,20598,22601,24594,26954,31228,39141,42104,,47512,50801,54723,199,185,2034,1643,-1,220,1402,461,200,509,564,392,563,345,1497,260,460,504,-1,432,433,459
459,407,DELACHAT Benoît,,V1 H,460,FR,36:45:17,15:13:19.000000,3630,4907,7604,10023,,15432,,20273,23697,24893,27919,31823,32961,34513,36252,39563,44953,46972,,50547,52534,54799,1496,153,1732,1634,-1,2073,-1,300,633,1492,563,462,562,564,337,1487,474,376,-1,424,411,460
460,1511,BOUTIN Raymond,,V2 H,461,FR,36:47:01,15:15:03.000000,1911,2639,4543,6117,,9453,13890,12987,15541,16304,20359,21538,22883,24279,27017,30693,39423,42113,,48406,51746,54903,1893,264,774,1778,-1,326,349,279,379,461,1649,538,246,563,380,507,527,426,-1,401,466,461
461,3381,DURAND Christophe,FOULEES DE SAINT GERMAIN EN LAYE,SE H,461,FR,36:47:01,15:15:03.000000,1909,2639,4541,6110,,9452,13873,12978,15539,16304,20278,21512,22874,24083,27013,30687,39257,42118,,48129,51725,54903,1580,239,722,287,-1,517,354,460,1539,462,274,461,409,353,355,398,362,562,-1,457,467,462
462,2469,BELE Pascal,GDM ST JAMES,SE H,463,FR,36:48:05,15:16:07.000000,2316,3377,5365,6587,,9924,13812,13687,15812,16580,21203,21895,23668,24738,27165,31253,38347,41723,,47960,50948,54967,2199,907,404,416,-1,518,250,1000,274,663,328,396,414,380,497,504,459,561,-1,474,486,463
463,3588,CAMOIN François,ARECHES BEAUFORT,V1 H,464,FR,36:48:30,15:16:32.000000,3102,4175,6708,9197,,13125,17583,17318,20523,22523,24870,26758,28870,31313,32332,35146,44779,45669,,50034,51868,54992,784,82,516,979,-1,132,310,274,383,357,309,498,1436,454,425,362,321,416,-1,400,404,464
464,3480,JACQUEMIN Gregory,LEMAN ENDURACE,SE H,465,Fr,36:49:02,15:17:04.000000,2233,3371,5555,8469,,11224,15630,14956,17598,18158,24089,24581,25770,27566,28294,31870,40505,43167,,48097,51145,55024,678,1501,160,996,-1,408,517,204,357,1336,468,1725,399,453,345,353,496,408,-1,402,462,465
465,2096,PESCE Pierre,,V1 H,466,FR,36:49:09,15:17:11.000000,3540,5036,8013,10112,,14597,18918,18557,20944,21449,25272,27074,28810,30220,31929,35380,42165,44618,,49123,51570,55031,521,1791,517,1479,-1,163,270,407,717,1725,318,368,308,361,1489,335,448,448,-1,447,476,466
466,2724,JORDA RIERA Carles,CLUB NATACIO BANYOLES,SE H,466,ES,36:49:09,15:17:11.000000,2483,3896,6253,8158,,11989,16005,15654,17997,18959,22687,24365,26568,27647,29493,34124,42167,44618,,49126,51571,55031,498,411,987,515,-1,188,1532,1494,382,566,643,642,496,493,400,334,633,446,-1,525,439,467
467,2638,BORDES Jean,ARKEMA,V3 H,468,FR,36:49:23,15:17:25.000000,2581,4088,6422,8831,,12446,16150,15621,17753,18539,20117,20762,21654,22837,24518,27790,36391,39799,,52160,53733,55045,90,161,117,516,-1,1789,271,1574,397,1659,244,1647,371,400,1437,463,641,542,-1,523,461,468
468,3312,TROUSSELIER Leon,LES SOUFFLES DE L'ESPOIR,V1 H,469,FR,36:50:50,15:18:52.000000,2413,3883,7065,8889,,14794,,19928,23317,26543,29156,30769,33343,35418,38289,41145,47806,49307,,52993,53962,55132,1494,1753,215,562,-1,342,-1,187,491,396,462,400,372,350,1486,558,446,431,-1,492,447,469
469,2036,CRENN Roland,,V1 H,470,FR,36:51:34,15:19:36.000000,2818,4405,7541,9252,,14466,19586,18988,22365,25008,27022,29396,31328,32999,36198,41285,48545,50613,,53502,54752,55176,93,493,1779,561,-1,410,641,199,523,491,1493,399,398,325,564,379,426,436,-1,542,484,470
470,2657,TOCUT Claude,,V2 H,471,Fr,36:54:03,15:22:05.000000,3753,5087,7912,9475,,13297,16827,16218,18188,18814,23700,25404,30858,32866,34023,37259,44840,48057,,53389,54697,55325,666,509,599,629,-1,627,1477,1106,525,341,538,224,349,276,563,781,377,473,-1,483,464,471
471,2887,PEREZ Roland,CAS MARTIGNY,V2 H,472,FR,36:54:37,15:22:39.000000,4100,5740,8842,11849,,17300,27922,24598,25807,26746,32722,33848,35087,36277,37149,39397,46226,48480,,52749,54092,55359,2050,2081,367,229,-1,279,415,517,450,1576,461,358,497,497,269,488,387,419,-1,701,490,472
472,610,PRETTI Giovanni,COURMAYEUR TRAILERS,SE H,473,IT,36:54:43,15:22:45.000000,2192,3094,5253,6810,,10620,14557,14235,16515,17545,20853,22636,24784,26744,29967,34008,42119,45596,,50090,52522,55365,927,342,121,857,-1,526,466,516,1679,383,449,388,423,355,420,328,420,496,-1,438,487,473
473,3467,BARRARD Christian,SKI-CLUB ARPETTAZ,V3 H,474,CH,36:55:27,15:23:29.000000,2419,3512,5079,7325,,11905,16072,15398,16759,17183,18832,20032,21242,23389,25084,29233,35211,39292,,46195,49803,55409,874,69,225,589,-1,199,515,1801,223,382,396,415,1496,427,419,1488,504,527,-1,488,493,474
474,3025,ROMERO RODRIGUEZ Rafael,CLUB DE MONTANA CHICLANA,V1 H,475,ES,36:55:34,15:23:36.000000,2714,3698,5586,7937,,11189,15532,15119,17757,18466,21357,22762,24383,26644,29626,32325,38916,42900,,48521,52551,55416,820,2004,238,401,-1,384,514,1804,1607,526,477,1492,1490,643,1491,397,556,358,-1,497,489,475
475,3590,BOYER Eric,ANTONY SUD 92,V1 H,476,FR,36:58:35,15:26:37.000000,2623,3991,6142,7436,,11459,14759,14485,16756,18240,20638,22408,24386,26084,28323,32538,39263,42389,,48099,51733,55597,405,267,1708,588,-1,181,1718,617,408,524,368,266,357,1581,490,433,542,357,-1,465,492,476
476,3203,ROZ Marco,GLI ORSI,V1 H,477,IT,36:59:11,15:27:13.000000,2025,2662,5099,6815,,9892,14672,14348,17044,17754,20402,21805,23457,26857,31519,36586,45907,47810,,51935,54005,55633,700,353,354,495,-1,2006,232,396,462,342,379,477,1579,1491,427,399,515,536,-1,466,495,477
477,1882,CUMENAL Didier,,V1 H,478,Fr,37:00:14,15:28:16.000000,3612,5479,8249,10453,,15526,20534,19090,20979,22316,25827,27965,29259,30262,31798,35069,41670,44519,,50357,53202,55696,899,105,1788,188,-1,509,254,247,461,463,399,252,455,618,284,434,516,524,-1,390,473,478
478,377,CHEVALIER cyril,BEAUMONT TRIATHLON,SE H,479,Fr,37:01:37,15:29:39.000000,2763,3955,6432,8261,,11917,16637,16275,19263,20456,24871,26936,29137,31612,34483,39448,46932,48515,,52834,54424,55779,533,398,151,265,-1,524,291,191,320,632,400,410,911,1497,286,327,431,522,-1,527,460,479
479,1941,BLANCHARD Cyril,TRIATHLON BEAUMONT,SE H,479,FR,37:01:37,15:29:39.000000,2766,3955,6433,8260,,11916,16653,16270,19266,20457,24746,26933,29059,31446,34203,39462,47618,48514,,52835,54426,55779,153,1479,1786,441,-1,1495,225,450,284,283,1753,911,352,428,661,432,419,463,-1,422,475,480
480,1871,BENAVENT MICOLA Josep Maria,TROTE-EXTREM,V1 H,481,Es,37:02:10,15:30:12.000000,4176,6135,9244,11785,,16045,,19798,21876,22957,27790,29435,31211,32928,34641,37531,45896,48562,,52469,55500,55812,2012,1480,223,2079,-1,361,-1,1484,396,414,358,1648,476,358,329,385,416,633,-1,411,529,481
481,265,MÖTTELI Hansueli,SSC TURBENTHAL,V1 H,482,CH,37:02:58,15:31:00.000000,2253,3285,5162,6596,,8817,12064,11577,13779,14183,16295,17985,19335,21718,24321,30653,38036,40567,,47998,50977,55860,1792,286,656,115,-1,560,458,458,342,379,164,346,330,349,276,383,601,641,-1,446,449,482
482,1966,DONZALLAZ Jean-Claude,,V1 H,483,CH,37:03:41,15:31:43.000000,1651,2219,4002,5786,,8765,12315,11910,13862,14452,17555,18582,19867,21917,24083,29366,36739,39466,,47391,51265,55903,1502,2186,1477,1572,-1,75,304,284,1305,235,224,428,266,498,636,473,436,482,-1,494,413,483
483,2801,LAZZAROTTO christophe,ACP CROLLES,SE H,484,FR,37:04:09,15:32:11.000000,2231,3360,5621,7232,,11073,16031,15855,18141,18851,21254,22988,25025,26964,29543,34117,40550,43364,,48916,51805,55931,1498,402,352,448,-1,114,1550,1493,563,450,414,463,453,348,1577,641,688,456,-1,450,526,484
484,2447,COLLOMB Cyril,INDIVIDUEL,ES H,485,FR,37:05:02,15:33:04.000000,1871,2583,4500,6122,,8610,11922,11617,12926,13659,15877,18252,19869,21975,23822,28077,36131,39609,,46892,50864,55984,327,1471,590,2146,-1,631,144,449,414,1647,415,353,452,305,275,388,536,437,-1,491,524,485
485,3437,JUIN Daniel,ESCLOPS D'AZUN,V2 H,486,Fr,37:05:49,15:33:51.000000,2842,4629,7126,8859,,12149,15384,14619,16337,17381,19550,20517,21791,23343,25679,30308,37665,40800,,47387,51626,56031,1069,196,700,248,-1,249,190,634,409,627,451,635,642,307,341,1489,359,429,-1,421,445,486
486,2588,MARCOT Christian,,V1 H,487,FR,37:06:40,15:34:42.000000,1011,1715,2961,4264,,6619,8336,8645,10690,11386,14167,15157,16758,22438,23562,26558,36430,39446,,48419,52199,56082,213,2079,858,985,-1,566,857,277,562,520,350,427,305,1486,498,588,943,601,-1,410,543,487
487,292,JABRI Mohsen,,V2 H,488,TN,37:06:56,15:34:58.000000,1739,2513,4203,5731,,8863,12004,11594,13718,14750,17745,19267,20735,22552,24896,29353,36136,39606,,47367,51262,56098,1530,127,589,1518,-1,162,426,381,330,1649,476,372,324,627,262,589,358,515,-1,630,446,488
488,1836,BALAGUE Bernard,ASGC MILLAU,V1 H,488,FR,37:06:56,15:34:58.000000,2301,3284,5409,6606,,10256,15436,15430,17798,18893,21702,23806,25884,27937,29936,34179,38909,42290,,49100,52218,56098,2090,982,326,224,-1,1002,1547,361,434,299,388,373,1577,329,336,1490,522,516,-1,543,498,489
489,1507,SACCARDO Carlo,THE NORTH FACE TEAM,V2 H,490,IT,37:09:50,15:37:52.000000,2904,4242,5971,7563,,10863,14632,14313,16312,17594,19740,20945,22429,24620,27856,32007,37670,40926,,48303,51879,56272,917,898,401,227,-1,167,185,382,736,332,392,424,272,591,362,427,425,420,-1,463,457,490
490,3000,THEPAUT Maurice,LES LOCMARIOLLES ASSOCIATION,V1 H,491,Fr,37:11:09,15:39:11.000000,1008,1537,3370,4675,,8070,12134,12666,15486,16474,19164,20398,21937,24965,33205,37628,42469,45895,,50112,53453,56351,1678,591,236,434,-1,1784,205,409,238,428,1491,200,345,560,465,496,524,447,-1,472,478,491
491,1895,JOANNAN Robert,AS PPT YVELINES,V2 H,492,FR,37:12:01,15:40:03.000000,2688,4123,6402,7809,,11656,15796,15656,18243,18920,22064,23368,24946,27170,29894,34528,41415,44245,,49675,52224,56403,411,498,300,2001,-1,701,187,413,341,397,427,246,448,590,506,295,634,391,-1,490,491,492
492,1962,MELCHERS Christophe,APACHES,SE H,492,FR,37:12:01,15:40:03.000000,1878,2822,4408,5736,,8762,12148,11598,14289,15913,18977,20148,21831,25121,30205,33170,38425,41519,,48784,52207,56403,517,590,206,258,-1,1496,573,1997,1743,1002,353,350,462,420,476,410,463,947,-1,563,522,493
493,826,SALLE laurent,,V1 H,494,FR,37:12:53,15:40:55.000000,2999,5026,7984,10524,,15706,19841,19139,22159,24388,25968,27912,29559,30950,33928,37651,45088,48055,,52695,54521,56455,518,1496,1967,765,-1,67,175,146,1609,660,1003,414,360,419,340,333,482,453,-1,562,468,494
494,223,BOUVIER Daniel,ORANGE BUSINESS SERVICES,V2 H,495,FR,37:13:39,15:41:41.000000,1557,2057,3976,5905,,8617,12012,12101,16390,17181,21088,23258,24659,26845,29322,37279,41896,44224,,49472,52283,56501,452,743,207,461,-1,1751,239,294,697,286,346,1577,379,404,560,474,429,729,-1,516,544,495
495,2939,LESBATS Stephane,UFO,SE H,496,FR,37:18:01,15:46:03.000000,3142,4975,8437,10613,,14910,19992,19217,21581,24663,26639,27816,29296,31343,33482,37251,44803,47329,,52005,54863,56763,214,783,497,220,-1,146,1534,537,311,346,372,306,426,636,643,376,552,556,-1,517,469,496
496,3527,DEVEY Jean Marc,AMICALE PENNES MIRABEAU,V2 H,497,FR,37:18:25,15:46:27.000000,2351,3259,5095,6495,,9298,13770,12887,15894,17272,19546,21093,23222,25374,27308,30296,35379,37954,,46645,49896,56787,477,2005,1710,409,-1,477,562,683,991,1727,373,411,432,337,1578,361,447,526,-1,477,506,497
497,1802,BOUILLET Jean,IBM FRANCE PARIS,V1 H,498,FR,37:19:13,15:47:15.000000,1962,2916,4885,6630,,10441,14117,13632,16124,17176,19888,21563,23273,25574,28225,32474,39699,42931,,49115,53121,56835,1593,397,325,480,-1,1497,425,739,517,563,266,348,328,416,381,448,456,449,-1,448,477,498
498,3159,COULOMBIER Stephane,IBM PARIS,V1 H,498,FR,37:19:13,15:47:15.000000,2834,4316,7131,8792,,12646,17170,18217,21551,23377,25402,27015,29046,31551,34085,37651,45841,48916,,53614,54743,56835,1569,521,1481,270,-1,1655,1528,1495,518,1789,473,349,347,1493,378,367,437,493,-1,459,564,499
499,449,DIDIER Gilles,,V1 H,500,FR,37:19:40,15:47:42.000000,2886,4236,6849,9652,,14677,20250,19944,22723,23768,27528,28795,30683,32171,34696,39085,47754,50536,,55385,56700,56862,62,319,84,342,-1,632,1340,700,463,266,411,1490,348,633,438,368,490,529,-1,521,563,500
500,2493,COZAR ANDRADES Ildefonso,PIEL FRAMA,SE H,501,Es,37:19:55,15:47:57.000000,3215,5070,8735,11610,,16529,,20802,22900,25056,26814,27661,29192,30580,32993,36491,44785,47311,,51920,54433,56877,187,526,1973,633,-1,721,-1,207,283,285,1337,331,1647,286,618,688,526,490,-1,509,472,501
501,3709,ZRINSKI Drago Karl,THE NORTH FACE TEAM,V2 H,502,BE,37:20:16,15:48:18.000000,2306,3439,5512,7244,,11293,15463,15341,17666,18347,22989,25540,27408,30377,32998,37219,44861,48057,,53395,55048,56898,622,617,228,487,-1,299,424,357,630,228,664,1002,635,476,784,412,729,403,-1,691,631,502
502,2589,FERRE PLANA Toni,TROTE-EXTREM,V1 H,503,Es,37:20:56,15:48:58.000000,4185,6241,9296,11776,,16296,,19809,21861,24337,27908,29454,31322,32924,35003,39351,45867,48566,,53337,55364,56938,298,827,525,1586,-1,463,-1,341,258,392,410,517,1648,434,434,319,453,634,-1,505,479,503
503,3571,GUENTHER Maik,,V1 H,504,DE,37:21:03,15:49:05.000000,2386,3532,5777,7756,,11117,,14151,16847,18118,22810,24610,26621,31218,32985,36919,43904,46571,,52810,55684,56945,1509,524,341,623,-1,2004,-1,298,1686,351,526,518,344,518,436,420,517,520,-1,635,480,505
504,3664,MARIAUX Marcel,,V2 H,504,CH,37:21:03,15:49:05.000000,4091,5931,9094,11173,,16365,,19921,22305,23837,25595,27530,29248,30948,33016,36457,42447,45869,,52563,54866,56945,729,182,523,1650,-1,405,-1,1489,497,635,524,476,350,517,435,515,476,400,-1,403,501,504
505,2733,AUDES Eric,,V1 H,506,Fr,37:21:19,15:49:21.000000,2395,3619,5560,7263,,10712,15521,15104,17148,17607,22004,23124,24963,26875,28303,31704,39848,42497,,51137,54002,56961,627,762,340,231,-1,353,257,436,332,343,325,361,1492,284,449,516,507,393,-1,633,528,506
506,478,ANCRENAZ Patrick,CAVAL PERTUIS,V1 H,507,FR,37:21:44,15:49:46.000000,2788,3794,6031,8153,,11864,16066,15861,19053,20033,24429,26327,28193,30939,32806,36404,46528,48793,,53006,54808,56986,938,771,351,1825,-1,1486,414,189,903,1488,361,819,427,661,367,527,520,566,-1,553,554,507
507,576,BROUSSE Denis,DIJON TRIATHLON,V2 H,508,FR,37:22:08,15:50:10.000000,4957,7288,10620,13090,,17705,22199,21792,24435,25682,28029,29764,31631,33687,36196,40355,46322,48960,,53298,55161,57010,1143,988,1106,496,-1,459,348,342,520,158,517,456,322,435,364,456,547,567,-1,518,517,508
508,1833,ROY Martial,TRI RUNNING LORIENT/MARINE NATIONALE,V1 H,509,FR,37:22:20,15:50:22.000000,1907,2825,4703,6385,,9718,13673,12874,15325,16261,18640,20107,22068,24049,26951,31690,41691,44678,,52258,54723,57022,600,392,1620,255,-1,406,1529,434,1681,911,518,663,415,438,458,436,1435,476,-1,456,518,509
509,496,DIRR Angelika,TV HERBOLZHEIM,V1 F,510,DE,37:22:36,15:50:38.000000,2082,3578,5956,8248,,13068,16837,16470,18880,20492,22603,24421,26293,28016,30741,35042,41831,45258,,51078,54565,57038,1506,581,1761,267,-1,165,654,320,428,223,495,325,590,436,399,447,508,464,-1,524,494,510
510,3082,PASCOA DOS SANTOS Michel,USCPCA RP,SE H,511,FR,37:22:41,15:50:43.000000,3819,5549,8640,10287,,13801,17728,17317,19568,20338,23235,24265,26219,28041,30560,37018,45853,49054,,53131,55776,57043,645,678,186,767,-1,618,316,909,451,564,542,329,589,679,404,601,544,465,-1,444,510,511
511,620,SAVART Roger,,V2 H,512,FR,37:22:53,15:50:55.000000,2217,3256,5396,7240,,11192,16123,16220,18989,19885,22268,24831,26306,27867,30144,34785,42923,46260,,53681,55796,57055,1785,596,316,326,-1,292,1272,1721,625,314,576,323,276,378,627,416,449,507,-1,445,525,512
512,2150,DUJARDIN Willy,SIDEL,SE H,512,FR,37:22:53,15:50:55.000000,2791,4131,6996,8776,,13833,18885,18546,21191,22767,25867,27550,29020,31982,34546,37833,43623,46825,,52900,55092,57055,1845,819,767,524,-1,293,241,1787,235,308,1498,566,424,542,256,309,493,552,-1,545,540,513
513,2729,LEMOINE Stephane,EXXONMOBIL,V1 H,512,FR,37:22:53,15:50:55.000000,2218,3258,5393,7234,,11187,15492,15028,17047,17747,21490,23186,25086,27301,29485,34755,42921,46680,,53775,55797,57055,1524,645,208,522,-1,437,230,353,1460,309,604,1649,1002,269,452,555,392,517,-1,500,471,514
514,1825,HEITZ Jean-Pierre,ASRHV,V1 H,515,FR,37:23:20,15:51:22.000000,2987,3795,6053,8020,,10998,15741,15485,17940,18376,21396,23363,25484,28951,31738,35993,43902,46568,,52848,55062,57082,392,352,350,746,-1,1491,482,1334,346,427,306,433,566,554,354,491,567,688,-1,476,509,515
