pos,bib,name,team,category,rank,nationality,time,timediff,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Bovine,Trient,Catogne,Vallo,TaVents,Flégère,Arrivé,delev_pos,stger_pos,conta_pos,balme_pos,bonhom_pos,chapieu_pos,seigne_pos,combal_pos,mtfavre_pos,checrou_pos,courm_pos,bertone_pos,bonatti_pos,arnuva_pos,gdcolf_pos,fouly_pos,champex_pos,bovine_pos,trient_pos,catogne_pos,vallo_pos,tavents_pos,flégère_pos,arrivé_pos
362,3970,HACZYK Jaroslaw,BIEG OPOLSKI,V1 H,362,PL,35:23:08,14:48:11,2339,3010,5020,6489,7979,8720,,12560,16555,18042,20121,23489,,26303,28266,30471,34077,37225,38794,41155,43126,48219,50472,53291,151,58,507,287,146,120,-1,323,268,273,1692,285,-1,198,383,207,314,305,260,385,377,386,380,363
363,3258,SCHAEFFER Jerome,,SE H,364,FR,35:23:55,14:48:58,2076,2893,5351,7200,8553,9500,,13208,14616,15506,16562,19737,21135,22053,23943,26240,30612,35189,37886,41353,44084,48966,50942,53338,189,223,183,97,143,258,-1,149,250,242,273,377,229,879,321,160,353,334,302,290,423,368,372,364
364,2811,RAVAUX Richard,ASCP SENAT,V1 H,365,FR,35:24:26,14:49:29,951,1288,2138,3296,4282,5347,,9559,10929,11761,13098,17152,18933,20432,21963,25195,31054,34789,38069,43145,45330,48230,49980,53369,1916,342,367,2035,246,290,-1,1756,190,270,268,498,187,177,241,1838,283,332,329,422,413,351,368,365
365,3360,RAMALHO COELHO Luis Serafim,NEL - PEDATLETA,V1 H,366,PT,35:24:48,14:49:51,2062,3030,5536,7227,8671,9873,,14121,15917,17411,19062,24190,26327,27778,30776,33068,37052,40973,42951,45804,47289,50252,51909,53391,379,878,456,255,148,274,-1,344,454,188,385,355,487,1843,428,428,341,333,332,309,432,393,384,366
366,4772,FOX Clark,,V2 H,367,US,35:25:56,14:50:59,1999,2609,4348,5768,6877,7573,,10902,12681,13505,14678,17050,18215,19107,20689,22274,27955,32198,35057,39124,42407,48639,50600,53459,267,321,481,220,343,338,-1,230,455,175,336,328,447,225,433,710,255,392,322,431,482,380,360,367
367,3342,BERNARD François,Douchpelme,SE H,368,FR,35:26:20,14:51:23,1870,2653,4832,6354,7709,8565,,12825,14419,15640,16904,21201,23074,24762,26761,29521,32909,36830,39112,42871,45084,49226,51129,53483,147,2085,288,179,258,420,-1,235,2041,268,1760,469,314,509,1764,509,260,498,364,454,368,348,348,368
368,3535,CLARIS Yannick,,SE H,369,FR,35:26:50,14:51:53,1648,2410,5446,7989,9693,10792,,15549,17177,18088,19548,23272,25031,26591,28734,31136,35174,40547,42270,44885,46757,50247,51906,53513,542,228,578,697,453,340,-1,319,1845,413,184,509,498,1850,196,258,318,281,289,383,327,384,394,369
369,4701,BORCSOK Andras,TATABANYAI SC,V2 H,370,HU,35:27:42,14:52:45,3225,4626,7539,9974,12175,13441,,18263,20313,21588,22623,26207,28077,29272,31114,32848,36254,38938,40779,43827,45464,49139,50715,53565,491,732,77,158,427,232,-1,377,2038,250,134,316,262,258,385,327,299,393,419,374,365,394,362,370
370,3731,PINEL Jean-Marc,,V1 H,371,FR,35:29:44,14:54:47,2776,3845,6289,7925,9562,10786,,15032,16757,17839,19084,22787,,25857,27890,29872,35375,39527,41594,44608,46709,50394,52112,53687,441,256,324,453,164,100,-1,526,230,385,243,1764,-1,271,509,237,1763,368,489,377,304,360,356,371
371,2584,MERCANTON Rodolph,CAF AIX LES BAINS,SE H,372,FR,35:34:20,14:59:23,1038,1646,2887,3925,4691,5265,,7886,8971,9729,10653,13915,15598,16925,20470,23138,28689,34360,36692,40012,42067,49055,51120,53963,89,2322,428,229,291,148,-1,1849,270,190,310,187,322,1691,1839,230,386,481,379,707,380,378,378,372
372,2771,HUBNER Xavier,,V1 H,373,FR,35:34:41,14:59:44,2208,3077,6175,8314,9983,11053,,15397,16976,18387,19887,23615,25547,26907,29354,30695,34674,39405,41224,44644,46542,50277,52153,53984,229,315,249,321,1047,291,-1,182,321,269,1764,262,316,209,1837,314,336,380,382,379,311,377,397,373
373,3925,DELAVELLE Eric,,V1 H,374,FR,35:36:16,15:01:19,3414,4712,7631,9738,11902,13279,,17811,19442,20831,22209,26214,27761,29242,31199,32940,36115,39992,41995,44320,46017,50104,51767,54079,343,855,1854,234,202,441,-1,823,1764,1760,224,322,327,208,314,298,265,385,485,367,394,413,374,374
374,3229,SOURDON Guillaume,SC BERNAY,SE H,375,FR,35:37:09,15:02:12,2623,3679,6817,8988,10577,11814,,16600,18550,19769,21434,25404,26714,27894,29506,31069,34666,38230,39471,42636,44375,50259,51914,54132,369,537,273,337,419,974,-1,202,242,605,579,276,862,197,1692,299,331,295,344,348,370,362,393,375
375,4705,NICIPORS Dmitrijs,EXPLORE,SE H,376,LV,35:37:17,15:02:20,2716,3848,6115,7765,11103,12751,,17226,18841,20092,21432,24434,26473,27789,30159,33053,38292,42607,46361,49112,49793,52160,53228,54140,199,541,179,272,382,239,-1,454,413,336,187,245,1742,316,341,325,1691,264,423,391,349,392,369,376
376,2573,MONTAGNER Jean-Luc,COURIR 26-07,V1 H,377,FR,35:39:03,15:04:06,1976,2696,5556,6981,8486,9306,,12114,13644,14556,15998,20184,21710,22952,24687,26913,31331,36017,38388,42174,44819,49921,52008,54246,101,602,295,1849,100,221,-1,2013,188,1688,276,505,301,1735,1842,266,481,306,323,497,350,374,366,377
377,4351,RODRIGUEZ DE LA OLIVA José María,HOCKEY ALCALA,V2 H,378,ES,35:39:18,15:04:21,2838,4034,6453,8359,10535,11835,,15618,17287,18382,19907,23285,,26577,28188,30272,33870,37555,39500,42766,44809,49813,51659,54261,237,236,280,240,213,278,-1,179,636,224,259,197,-1,169,710,379,303,1715,388,346,427,482,375,378
378,3771,GLESCIC Mitja,"DLT Filipides, SD ELEKTRO PRIMORSKA",SE H,379,SI,35:39:20,15:04:23,1627,2426,4467,5906,7061,7883,,11568,12970,14157,15716,21938,23184,23888,25807,28044,32925,36149,38267,41853,44421,50559,52139,54263,426,2043,241,1046,2038,344,-1,1047,269,383,250,1838,465,328,328,505,212,386,389,364,428,369,359,379
379,2843,TURZO Marc,LES TONTONTRAILERS,V1 H,380,FR,35:39:59,15:05:02,2016,3092,5780,7885,9652,10700,,14623,16149,17073,18287,21325,23049,24377,26356,28765,33572,37028,39633,42854,45381,49304,51114,54302,2043,368,106,163,254,243,-1,1688,290,1849,190,258,1890,419,336,1837,368,433,471,345,351,366,358,380
380,3181,MAGNIN Ludovic,,SE H,381,FR,35:40:03,15:05:06,2937,3844,6403,8324,10368,11136,,15966,17725,18704,19653,24221,25736,26984,29062,30854,35183,38264,40746,44585,46722,50397,52102,54306,582,427,1919,972,474,286,-1,383,729,310,163,230,240,1838,327,341,433,383,371,395,392,375,361,381
381,3369,MAGNIN Fabrice,,SE H,382,FR,35:40:07,15:05:10,2935,3843,6404,8327,10366,11134,,15963,17722,18668,19650,24217,25732,26989,28997,30853,35182,38261,40744,44583,46707,50398,52107,54310,133,1713,200,1760,1933,455,-1,268,2017,163,607,301,1669,319,505,386,426,363,392,508,540,358,377,382
382,3816,ROTAECHE Chema,GRUPO DE MONTANA LAVALLE,SE H,383,ES,35:40:09,15:05:12,2066,2671,4548,6244,7471,8047,,12267,14295,15129,16026,19867,21396,22751,25206,26762,32395,37223,39241,43869,46373,50642,52143,54312,2052,440,230,741,321,1914,-1,290,607,321,441,266,209,1836,456,1692,498,493,390,425,354,373,390,383
383,3964,SAKO Naoya,NICHIA,SE H,384,JP,35:40:28,15:05:31,2938,4348,7218,9345,11104,12435,,17015,19173,20418,21702,24239,,26559,28316,30272,34025,37297,39556,42557,44750,49374,51247,54331,555,378,472,1759,232,319,-1,259,163,187,269,341,-1,1946,1845,336,379,343,374,505,340,427,381,384
384,3636,TRAINA Christophe,OTC,V1 H,385,BE,35:42:40,15:07:43,2164,2753,4327,5908,8489,9464,,12843,14221,14917,16088,19978,21756,22894,25402,27538,32206,37094,39514,43730,45944,50635,52373,54463,635,1759,379,201,278,322,-1,175,603,2037,1765,319,259,475,475,433,505,342,338,474,455,428,382,385
385,3322,POLGAR Pal,BUDAPEST SE,V2 H,386,HU,35:43:24,15:08:27,2268,3248,5633,7267,8889,9732,,13230,14964,16038,17095,19432,21473,22595,25185,28124,32737,37133,39319,42178,44573,49150,50902,54507,1439,138,628,245,306,465,-1,250,385,134,230,951,208,215,206,1839,319,336,339,492,493,390,371,386
386,4511,TALE Andrei,TRAIL RUN ROMANIA,SE H,387,RO,35:44:27,15:09:30,2747,3661,6376,8529,10315,11082,,17093,21608,22685,23768,28643,30902,34340,36576,37994,41197,44155,45445,48260,49193,52286,53534,54570,55,2442,1184,440,287,192,-1,440,428,290,321,317,320,277,319,419,292,396,381,327,396,361,379,387
387,4035,POWELL DAVIES Jeff,,SE H,388,GB,35:46:20,15:11:23,2777,3730,5735,7666,9690,10719,,14738,16332,17735,18827,22416,24058,25170,27617,30486,34606,38094,40690,43447,45828,48662,50846,54683,919,2075,2246,419,279,475,-1,273,224,184,475,320,563,321,230,319,305,327,394,387,388,359,383,388
388,4319,PERRIER Laurent,PRAZ-DE-LYS SOMMAND SKI ALPINISME,V1 H,389,FR,35:46:32,15:11:35,2588,3718,6156,8204,10172,11099,,15574,17636,18827,20098,23588,25742,27109,29134,31049,35122,39001,41022,44254,46497,50992,52778,54695,792,538,1048,626,286,428,-1,1760,423,1761,364,433,258,240,379,300,307,384,875,393,426,371,373,389
389,2924,GRAS Louis,,SE H,390,FR,35:48:51,15:13:54,1374,2113,3982,5170,6270,7137,,10627,12265,13372,14307,18574,20909,25521,27713,29744,35371,40307,42697,45425,47192,50384,52097,54834,322,1785,2245,120,192,1764,-1,635,261,727,749,225,225,241,498,569,398,469,1710,432,433,381,392,390
390,3699,CHIROL Jean-Pierre,ASPTT PERIGUEUX,V2 H,391,FR,35:49:22,15:14:25,2057,3009,4782,6440,7911,8970,,13110,14778,16011,17452,22161,24017,25322,28718,30893,34845,38089,40614,43851,46611,50552,52339,54865,574,118,1767,307,1002,793,-1,419,951,440,456,1692,198,204,309,309,423,427,380,349,385,382,391,391
391,3550,HUBNER Falk,BORN@JOGMAP,V1 H,392,DE,35:50:11,15:15:14,1298,2261,3423,4460,5217,6016,,9055,9840,11046,12402,15573,17935,19708,21618,24596,30571,36759,39422,43019,45617,50097,52211,54914,222,581,420,212,266,202,-1,270,1710,259,1851,342,319,428,325,240,357,348,376,350,374,356,385,392
392,4042,BERTRAN MASANÉS Elisabet,A.E.MATXACUCA,SE F,393,ES,35:52:29,15:17:32,2370,3517,6423,7606,9088,10191,,14636,16780,18113,19646,22659,24063,25225,27098,29879,33451,36826,39427,41937,44665,49302,51901,55052,217,792,302,1831,318,314,-1,321,310,747,729,432,932,433,317,329,1764,1692,429,340,302,391,413,393
393,4065,RUDISCH Stefan,,SE H,394,DE,35:52:33,15:17:36,3001,4077,6714,8363,10180,11452,,15704,17664,18844,20171,23571,25222,26532,28714,30662,34610,37630,39499,43450,45389,49537,51436,55056,2442,1101,454,1764,1913,1690,-1,602,383,230,290,321,197,341,299,456,330,378,348,384,362,379,389,394
394,3873,HENNUS Luc,,V2 H,395,BE,35:55:00,15:20:03,2685,3759,6266,8500,10541,11901,,16790,18527,20085,21383,25790,27667,29119,31440,33565,37621,41588,43929,47251,49086,52289,53526,55203,221,490,211,1001,312,321,-1,606,527,200,1853,420,215,472,423,475,334,419,331,504,498,385,419,395
395,4401,TORMENA Fabio,LO CONTREBANDJE,V1 H,396,IT,35:58:15,15:23:18,2052,3065,5592,7571,9050,10226,,14631,16438,17720,19586,22546,,25878,27695,29987,33703,37266,39486,43193,45826,51065,53163,55398,2357,2052,383,233,313,636,-1,1841,187,577,200,1710,-1,230,420,1840,475,420,1688,311,383,383,420,396
396,4279,VILA NOGUERAS Ignasi,GRATANUVOLS DEL MONTSENY,SE H,397,ES,35:58:38,15:23:41,1183,1729,3003,4384,5908,6692,,10426,12478,13568,14171,16809,18901,20541,23672,27071,31767,35287,37410,40998,43300,48984,51730,55421,1833,290,335,190,1763,476,-1,2034,438,949,177,314,277,298,298,334,247,394,286,369,398,426,427,397
397,4107,BRUNO Fred,EUREXO TDS,SE H,398,FR,35:59:23,15:24:26,2427,3404,6153,8065,9933,10960,,14999,16754,17915,19104,22944,24206,25300,27382,29458,33071,37759,39525,44170,46380,51549,53377,55466,1768,178,336,142,2018,1934,-1,453,1851,1847,506,277,280,710,207,487,324,441,465,304,565,419,428,398
398,4141,GUICHARD Michel,EUREXO TRAIL ET DEFIS SPORTIFS,V2 H,398,FR,35:59:23,15:24:26,2490,3304,6207,8457,10418,11524,,16611,19006,20268,21461,25401,26789,27890,30752,32241,35718,39635,41216,45296,46922,51352,53371,55466,761,170,221,343,302,2043,-1,728,1692,423,342,428,1714,379,343,420,1735,293,501,390,749,420,422,399
399,4631,LAURIOT Wilfrid,GRD BEL COSTER TEAM,V1 H,400,FR,36:00:40,15:25:43,2828,4103,7628,9499,11708,13082,,18372,20066,21049,21891,25766,27157,28861,30763,32613,37040,40313,42267,45255,47346,52278,53777,55543,1101,1183,327,791,792,2039,-1,188,336,634,428,1691,340,287,493,493,419,398,415,1680,389,422,426,400
400,2925,LOPEZ REYES Alejandro,,V1 H,401,MX,36:01:39,15:26:42,2527,3752,6777,10040,12068,13466,,18256,19971,21103,22229,25753,27384,28637,30016,31711,35968,40984,43436,45619,47827,51061,53168,55602,134,278,234,1761,234,303,-1,464,200,342,636,1912,165,456,380,380,332,352,416,418,373,389,403,401
401,2842,NUNAN Richard,,V1 H,402,IE,36:04:08,15:29:11,2326,3347,6844,9538,11714,12828,,16767,18553,19330,20472,25749,27420,28848,30978,33014,37060,40734,42893,45431,47721,52840,54355,55751,2322,294,95,265,191,368,-1,224,824,437,197,208,230,420,426,426,420,532,437,419,429,423,404,402
402,3106,BULANOW Leszek,,V1 H,403,PL,36:08:15,15:33:18,2573,3778,5976,7821,9417,10351,,14164,16367,17433,19090,23391,25146,26771,28489,30982,36083,39032,41132,44375,46894,51053,53155,55998,279,90,676,464,460,223,-1,363,259,430,710,209,321,317,220,318,493,1736,528,382,359,404,396,403
403,4079,SZCZOTKA Pawel,,V1 H,403,PL,36:08:15,15:33:18,2291,3258,5435,7304,8788,9890,,13206,15250,16640,18273,23397,25154,26789,28537,31483,36641,39505,41284,44379,46900,51045,53160,55998,257,1144,213,382,742,355,-1,578,749,364,368,198,341,325,300,1844,333,391,387,421,391,403,401,404
404,3232,RAMIREZ GONZALEZ Alfredo Severo,TENERIFE OUTDOOR,V1 H,405,ES,36:08:19,15:33:22,1956,2742,4688,6939,8468,9597,,14091,16239,17769,19439,23709,,27804,29564,31654,35893,39095,41166,44564,46907,51359,53384,56002,485,269,2052,1133,320,191,-1,919,134,2013,951,348,-1,505,729,307,393,388,341,440,360,493,376,405
405,2637,MIAYOKILA Fabrice,CA MONTREUIL,SE H,406,FR,36:08:21,15:33:24,1313,1858,3082,5263,6754,7477,,14372,16544,17446,19859,27602,29078,30528,32774,34641,38683,42728,43872,48039,49465,53875,54747,56004,736,360,291,320,235,498,-1,422,342,497,498,325,1670,1692,290,343,295,577,342,302,358,401,423,406
406,4605,ETIENNE Stephane,TRAIL AVENTURES,V1 H,407,FR,36:09:24,15:34:27,1623,2201,5618,8266,11124,12412,,18983,20926,21937,23017,25755,27324,28639,30755,32840,37044,41377,43324,46713,48979,52841,54390,56067,543,635,303,474,475,454,-1,261,441,208,266,215,204,309,487,280,380,533,384,353,422,396,482,407
407,4278,LEFEBVRE Christophe,AL ECHIROLLES,SE H,408,FR,36:10:28,15:35:31,2857,4257,7631,9326,11502,12939,,20086,22372,23307,24727,28264,29849,31079,33063,34906,38101,41214,43003,45749,47926,52154,53933,56131,1047,334,793,2179,243,234,-1,269,368,1687,261,259,416,487,160,423,311,375,484,397,710,433,493,408
408,3098,FOURNAT Philippe,,V2 H,409,FR,36:11:22,15:36:25,2468,3633,6888,8657,10525,11686,,15890,17417,18489,19928,23619,25838,27009,28972,30606,34276,40982,43833,46755,48977,52083,53735,56185,282,257,256,253,190,2017,-1,340,316,428,282,280,271,493,324,287,396,382,378,487,420,431,431,409
409,4084,LOUSTAUD Dominique,,V1 H,409,FR,36:11:22,15:36:25,2728,3893,6652,8319,10447,11500,,16271,18054,19529,21295,25001,26813,28123,30220,32737,37063,40981,43833,46751,48974,52079,53728,56185,2045,340,316,218,241,1709,-1,1706,420,1908,1912,240,426,336,329,539,412,381,377,388,419,399,399,410
410,4121,CUCCHI Sergio,RUN@TRAIL,V1 H,411,IT,36:12:44,15:37:47,2068,2693,5177,7256,8894,9584,,14901,17171,18106,19096,23534,25117,26352,28722,30420,35683,39720,41984,46409,48520,52424,54341,56267,1144,756,579,302,273,273,-1,258,1765,261,1691,710,317,206,311,331,284,488,529,361,382,417,417,411
411,2892,RIQUARD Olivier,Team Raidlight,SE H,412,FR,36:13:03,15:38:06,2288,3087,5238,6952,8575,9500,,13316,14898,16052,17313,22038,23657,24737,26923,29401,33737,41815,44295,46792,49094,52519,54351,56286,115,301,2038,1864,578,213,-1,2035,498,209,209,1736,298,423,368,290,378,335,347,373,371,405,398,412
412,2641,GODIN Olivier,KIKOUROU,SE H,413,FR,36:15:26,15:40:29,1539,3253,6165,7245,8516,9482,,12878,14026,14880,16046,18749,20108,21008,23040,24749,29174,33215,35774,41315,44936,50001,52734,56429,270,104,243,145,464,179,-1,187,177,368,438,204,421,196,334,1841,348,443,366,428,381,432,405,413
413,4680,ROUAUD Christophe,TEAM TRAIL EXPLORER,V1 H,414,FR,36:16:12,15:41:15,2596,3614,6231,7492,8767,9506,,13088,14921,15951,17309,23903,25763,26913,29660,31743,35666,40986,43455,46566,48998,52454,54320,56475,361,204,423,148,422,561,-1,313,430,177,386,368,241,1911,342,729,342,311,336,402,369,398,433,414
414,3304,ABRAM Clare,QUICKSILVER,V1 F,415,GB,36:16:17,15:41:20,3101,4721,7404,9173,11053,12790,,17017,19161,20653,22196,26127,27959,29773,31871,34371,38284,41832,44856,47803,50164,53266,54999,56480,179,354,2182,2016,2047,190,-1,242,184,420,509,343,413,327,412,292,343,290,345,403,441,430,395,415
415,3306,LABERGE Scott,QUICKSILVER,V2 H,415,US,36:16:17,15:41:20,3101,4677,7406,9170,10986,12710,,,19163,20365,22101,26130,27940,29775,31711,33651,37604,41830,44861,47806,50172,53270,55003,56480,2245,1933,1709,422,1708,363,-1,-1,258,316,208,577,207,380,240,303,264,351,346,501,356,441,387,416
416,2704,BINELLI Stefano,DRIBBLING BZ,V1 H,417,IT,36:17:45,15:42:48,2000,2825,5003,6583,8082,9397,,13793,15664,17581,19136,21858,23930,25547,28101,31510,35385,39386,42092,45356,48028,51356,53374,56568,2037,335,743,473,2182,266,-1,310,364,525,203,487,494,342,616,260,472,437,725,430,509,410,410,417
417,4454,CARMINATI Adriano,A.S.D. FO' DI PE,V1 H,418,IT,36:18:30,15:43:33,2773,3879,6699,8895,10805,12040,,16441,17943,19281,20558,27370,28716,30065,31699,33649,37050,41908,44510,47456,49470,53262,55119,56613,452,573,441,313,2016,2192,-1,368,340,708,465,380,695,426,303,342,384,340,350,404,403,409,409,418
418,4545,GADLER Claudio,TRIATHLON TRENTINO,V2 H,419,IT,36:18:40,15:43:43,1369,2083,3784,5523,6488,7350,,10937,12598,13624,15130,19539,21626,23438,25125,28255,33334,37557,40338,43862,46671,50812,52966,56623,751,286,239,367,367,492,-1,516,1048,2166,430,1853,169,300,393,412,533,422,385,381,443,429,430,419
419,2845,MOLINARI Luca,TRIATHLON TRENTINO,V1 H,420,IT,36:18:41,15:43:44,1880,2681,4516,6169,7469,8262,,12349,14461,15681,17251,20843,22718,24007,26098,28684,33386,37560,40365,43863,46668,50816,52970,56624,291,212,343,191,1689,1003,-1,437,579,197,258,241,477,343,357,311,363,349,433,380,404,408,400,420
420,3793,BERRARD Jean-Christophe,COURCHEVEL,V1 H,421,FR,36:18:42,15:43:45,1988,2886,5973,8681,11077,12757,,17202,19181,20578,21835,24524,26450,27916,30357,32763,36434,40120,42735,46372,48746,53176,54759,56625,1785,151,405,2181,2180,228,-1,429,313,601,423,271,324,307,318,247,443,350,498,359,488,376,441,421
421,4570,VEGA Alberto,BICHILLORUNNER CANARIAS,V1 H,422,ES,36:19:17,15:44:20,2152,3107,5542,7352,9090,10150,,14170,15860,16897,18279,22194,24435,25897,28201,30444,34952,38869,41055,43878,46632,50932,53029,56660,335,323,2357,2045,354,743,-1,1761,241,507,355,340,483,207,292,398,487,729,477,370,405,509,432,422
422,4162,NIKOLOVA Maria,,SE F,423,BG,36:19:46,15:44:49,2327,3332,4654,6340,7671,8884,,12602,14279,15458,17229,21434,22578,24260,26045,29130,33110,36495,39125,42327,44921,51026,53295,56689,1933,1846,2019,312,2190,1692,-1,307,1912,327,327,423,376,729,280,357,437,429,535,442,399,400,408,423
423,2776,DELPEYROU Michael,,SE H,424,FR,36:21:06,15:46:09,1936,2815,5083,6929,8246,9277,,14399,16153,17068,18717,22929,25022,26667,29122,31755,36658,41911,44863,47335,49288,53259,54898,56769,324,761,199,278,223,224,-1,327,209,1706,420,298,326,290,539,324,427,370,418,372,437,470,429,424
424,2981,PELBOIS Jean-Marc,,V1 H,425,FR,36:21:50,15:46:53,2494,3531,5870,7586,9262,10279,,14728,16926,18252,19520,22385,24416,25515,28211,30847,35192,39895,42113,46005,48236,52486,54112,56813,302,1853,110,1706,1709,268,-1,355,208,282,285,532,366,412,569,368,306,354,425,531,390,387,437,425
425,4303,CRANE Steve,TAMALPA,V1 H,426,US,36:22:00,15:47:03,1663,2650,5041,6561,8005,9270,,13079,15178,16481,17954,22044,23352,24445,26372,28771,32919,36236,38627,43202,45835,50797,53149,56823,231,2045,164,961,315,336,-1,385,1691,575,577,493,342,303,307,283,409,389,573,436,502,395,425,426
426,4165,MORELL Roman,SA MILANA-ALARO,SE H,427,ES,36:23:19,15:48:22,3077,4184,6543,8678,10565,11405,,15779,17543,18399,19425,22711,24355,25524,28533,29775,34212,37346,39389,42053,45576,50337,52977,56902,205,230,2053,1911,455,331,-1,1847,710,414,414,527,335,368,331,265,430,539,399,358,505,437,414,427
427,4118,TARAZONA ORTIZ Oscar,SA MILANA,V1 H,428,ES,36:23:20,15:48:23,1618,2411,4385,5967,7436,8484,,12906,14247,15592,16852,20862,22607,23668,25220,27826,32236,35707,38560,42039,45582,50339,52986,56903,104,2385,2354,577,334,335,-1,177,391,1046,412,207,1688,329,1851,498,388,502,439,368,506,455,470,428
428,3139,ANDRE stephane,,V1 H,429,FR,36:23:25,15:48:28,2287,3200,6334,8473,10400,11502,,16438,18463,19813,21357,24725,26485,27811,29667,31649,35154,38900,41087,44343,46600,52093,53940,56908,1846,194,2048,285,261,2184,-1,413,509,340,316,290,333,334,348,305,488,403,401,876,431,411,411,429
429,518,GUIBERT Mathieu,TEAM RAIDLIGHT,V1 H,430,FR,36:24:44,15:49:47,2172,3106,5292,6756,8070,8952,,12835,14574,15505,17214,23200,24815,25887,27897,29959,34603,39137,41486,45615,48061,51989,53769,56987,269,617,2184,354,182,313,-1,427,469,391,432,327,375,572,398,348,394,487,307,355,1691,438,412,430
430,394,XING Ruling,TNF,V2 F,431,CN,36:26:16,15:51:19,2079,3321,5465,7194,8914,10143,,14708,16552,18281,20010,22653,24839,26660,28926,31853,36255,39245,42343,44486,47222,51346,53366,57079,266,193,476,390,268,241,-1,342,355,258,169,336,287,616,260,255,532,456,395,357,366,414,402,431
431,3379,WATANABE Takahiro,SPORCIVA,SE H,432,JP,36:26:52,15:51:55,2613,3672,5886,7288,8751,9545,,12944,14928,,17353,20709,21713,22401,24109,26136,30306,35370,37786,42415,44939,51391,53900,57115,341,265,321,277,179,456,-1,336,327,-1,505,165,303,465,340,616,471,405,369,455,400,425,407,432
432,4435,KUROSE Hiroaki,YOKOHAMA MM NightRunners,V1 H,433,JP,36:26:53,15:51:56,2092,3089,5493,6905,8471,9461,,13468,15071,16200,17642,20663,22594,23749,25298,28248,32915,37164,39719,43469,45865,51074,53388,57116,258,497,483,335,149,2182,-1,468,412,464,207,603,309,220,527,353,616,569,400,399,532,412,438,433
433,2557,PIANA Marcello,,SE H,434,IT,36:28:08,15:53:11,2375,3355,6566,8670,10493,11253,,15390,17031,18366,19670,23129,25022,26619,28809,31628,36774,40376,42669,46930,49095,53251,54767,57191,2385,614,355,334,491,829,-1,431,505,386,1838,443,328,331,247,390,375,430,300,398,470,475,455,434
434,4239,BERTHET Lionel,,SE H,435,FR,36:29:35,15:54:38,1484,2303,5406,7388,9093,9969,,14450,16389,17853,18896,22422,24437,25892,28488,30921,35602,39994,42300,47253,49090,53005,54990,57278,2244,296,1914,181,962,2048,-1,748,577,468,335,334,206,340,491,427,373,346,1711,416,456,538,446,435
435,2532,WAGNER Frank,TRAILS.SAZZA.DE,V1 H,436,DE,36:29:52,15:54:55,3454,5147,7660,9675,11790,12883,,17120,19013,19914,21230,25010,26802,28113,30574,33554,38217,43193,45072,48489,50100,54085,55283,57295,248,2354,308,1687,250,235,-1,163,517,504,277,287,196,160,1710,443,456,345,426,389,402,488,447,436
436,4160,PLENECASSAGNE Yannick,SO MILLAU,V1 H,437,FR,36:30:06,15:55:09,2955,4039,6653,8570,10636,11721,,15957,17536,18385,19531,23188,24987,26097,28386,30464,34132,38864,41023,44822,46987,52322,54103,57309,603,366,281,330,175,259,-1,950,414,285,331,324,290,292,443,488,340,431,358,469,475,402,448,437
437,3713,JONES Jake,,V1 H,438,US,36:30:20,15:55:23,2648,3750,6064,7436,8749,9604,,12833,14316,15489,17094,23567,25521,27662,29885,32024,36039,40473,43121,46047,48194,52441,54452,57323,2361,98,254,2049,330,323,-1,497,277,412,469,572,419,324,388,371,281,417,367,401,401,407,406,438
438,3630,LANDELLE philippe,ESVA BEAUFORT,V1 H,439,FR,36:30:39,15:55:42,2840,4195,7915,9753,11847,13075,,17958,20055,21286,22470,26692,28324,29353,31340,34233,38268,42405,44965,47150,49432,53274,55006,57342,139,1918,180,178,558,423,-1,508,432,355,328,303,558,388,305,393,352,373,352,468,361,456,421,439
439,541,LO CONTE Antonio,,V1 H,440,CH,36:31:36,15:56:39,2787,3791,7371,9049,10446,11347,,15631,17188,17990,18812,24289,,27104,30000,31419,35674,40266,46180,48247,49939,54250,55889,57399,191,578,266,576,560,175,-1,200,282,277,391,468,-1,318,283,430,391,356,1044,449,408,448,434,440
440,3246,TEJERO BIGGIE David,42195.ES,SE H,441,ES,36:31:47,15:56:50,1633,2425,4680,6162,7372,8302,,12315,14349,15317,16444,20011,21402,22847,25168,27080,31692,37659,40483,43937,46779,52076,53845,57410,2049,1440,391,223,627,316,-1,334,386,1732,527,417,339,491,396,330,422,1048,298,486,448,447,509,441
441,1276,FOULON Pierre Yves,,V1 H,442,FR,36:32:41,15:57:44,3012,4583,7768,9931,12047,13525,,18502,20400,21543,22715,25577,27762,29239,31269,33925,38791,42411,44960,47145,49439,53264,54935,57464,2355,341,800,242,887,1135,-1,316,303,559,204,491,456,443,330,396,356,404,467,429,447,446,424,442
442,4340,HARRISON David,Patxangueros d'Alforja,V2 H,443,GB,36:32:42,15:57:45,2403,3485,6170,7589,9081,10099,,13768,15333,16509,17918,21749,23782,25196,27561,29861,34122,38444,41137,44635,46897,53258,54987,57465,498,675,146,100,224,618,-1,209,465,328,1710,465,300,357,390,332,804,304,354,400,446,435,456,443
